system:index,meanCO,time,.geo
20190615T070114_20190621T062819,0.03814607158953582,1560583369000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190616T064212_20190622T060112,0.032729805766675134,1560668627000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190618T074538_20190624T071306,0.033600762723874876,1560845232000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190619T072635_20190625T064524,0.040539116454483874,1560930489000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190620T070733_20190626T062620,0.040585650242884456,1561015748000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190621T064830_20190627T060902,0.04255965240358014,1561101004000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190622T062927_20190628T055116,0.038027036501678275,1561186262000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190623T075155_20190629T071341,0.0419489112042117,1561277609000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190624T073252_20190630T065551,0.044830762645962224,1561362866000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190625T071349_20190701T063836,0.04938629197704213,1561448122000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190626T065445_20190702T061759,0.040422715502118664,1561533380000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190627T063542_20190703T095117,0.040231444718018955,1561618636000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190628T061639_20190704T054031,0.034434823573488385,1561703893000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190628T075809_20190704T072037,0.033560018373023755,1561709982000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190629T073905_20190705T070225,0.03400827912189485,1561795239000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190630T072001_20190706T064323,0.032590433867740985,1561880496000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190701T070058_20190707T062415,0.03903816312173603,1561965752000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190702T064154_20190708T060514,0.04985712942999178,1562051009000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190703T062250_20190709T054602,0.044130643608136504,1562136265000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190703T080420_20190709T072605,0.041346375207297975,1562142354000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190705T072612_20190711T064729,0.04068134471813385,1562312865000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190706T070707_20190712T062810,0.043037078612479185,1562398122000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190707T064803_20190713T060850,0.039959961192748014,1562483378000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190708T062858_20190714T054928,0.039499904541297974,1562568633000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190709T075124_20190715T071015,0.03702237081189934,1562659978000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190710T073219_20190716T065055,0.035492171896885895,1562745233000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190711T071315_20190717T063136,0.033719322180099064,1562830489000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190712T065411_20190718T061218,0.03266397247209244,1562915746000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190713T063507_20190719T055302,0.032088115314422495,1563001002000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190714T061603_20190720T053340,0.03232087821587761,1563086257000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190714T075733_20190720T072512,0.0330244219313743,1563092347000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190716T071924_20190722T064456,0.034523967653512955,1563262859000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T070020_20190723T062540,0.033523215772659605,1563348115000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190719T062211_20190725T054709,0.036990557734719175,1563518626000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190719T080341_20190725T072711,0.03636139043646383,1563524715000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190720T074436_20190726T070757,0.03529977885236506,1563609971000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190721T072532_20190727T064837,0.03608194835745726,1563695227000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190722T070627_20190728T062921,0.038465111876749974,1563780481000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190723T064722_20190729T061000,0.03745802647318181,1563865737000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190725T075042_20190731T071153,0.03660273903754145,1564042337000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190726T073137_20190801T065243,0.0399165120859692,1564127592000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190727T071232_20190802T063323,0.036533713477403904,1564212846000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190728T065326_20190803T061405,0.035033078973526276,1564298101000,"{""type"":""MultiPoint"",""coordinates"":[]}"
